[200] http://192.168.135.121/admin//                                                                           [Words:4, Size:56, Lines:1] 
[403] http://192.168.135.121/admin/.httpd.conf.php                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswds.php                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswrd.php                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd_test.php                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd/.php                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd.inc.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htusers.php                                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd.bak.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.httr-oauth.php                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd-old.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd.php                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.html.php                                                                   [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htm.php                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htgroup.php                                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htf.php                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess~.php                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccessOLD2.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccessOLD.php                                                            [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess_extra.php                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccessBAK.php                                                            [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess_sc.php                                                            [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess_orig.php                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess/.php                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.txt.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.swp.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.save.php                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.sample.php                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.orig.php                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.old.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.inc.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.bak1.php                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.bak.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.BAK.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess-marco.php                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess-local.php                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess-dev.php                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.php                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.hta.php                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.ht_wsr.txt.php                                                             [Words:20, Size:280, Lines:10] 
[200] http://192.168.135.121/admin/?MAIN=TOPACCESS                                                             [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php?redirect=/\/evil.com/.php                                         [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php?redirect=//evil.com.php                                           [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php?r=students/guardians/create&id=1%22%3E%3Cscript%3Ealert%28document.domain%29%3C%2Fscript%3E.php  [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php?appservlang=%3Csvg%2Fonload=confirm%28%27xss%27%29%3E.php         [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php/soap/.php                                                         [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php/search/default.php                                                [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php/login/.php                                                        [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php/admin/.php                                                        [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php                                                                   [Words:4, Size:56, Lines:1] 
[301] http://192.168.135.121/admin/templates                                                                   [Words:20, Size:328, Lines:10] 
[403] http://192.168.135.121/admin/templates/                                                                  [Words:20, Size:280, Lines:10] 
[200] http://192.168.135.121/admin/index.php                                                                   [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php/admin/                                                            [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php/login/                                                            [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php/search/default                                                    [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php/soap/                                                             [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php?appservlang=%3Csvg%2Fonload=confirm%28%27xss%27%29%3E             [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php?redirect=//evil.com                                               [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php?redirect=/\/evil.com/                                             [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/index.php?r=students/guardians/create&id=1%22%3E%3Cscript%3Ealert%28document.domain%29%3C%2Fscript%3E  [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/admin/?MAIN=TOPACCESS.php                                                         [Words:4, Size:56, Lines:1] 
[403] http://192.168.135.121/admin/.ht_wsr.txt                                                                 [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.hta                                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess-local                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess                                                                   [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess-dev                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess-marco                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.BAK                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.bak                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.bak1                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.inc                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.old                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.orig                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.sample                                                            [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.save                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.swp                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess.txt                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess/                                                                  [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccessBAK                                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccessOLD                                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess_extra                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccessOLD2                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess_orig                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess_sc                                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htaccess~                                                                  [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htf                                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htgroup                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htm                                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.html                                                                       [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd                                                                   [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd-old                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd.bak                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd.inc                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd/                                                                  [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswd_test                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswds                                                                  [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htpasswrd                                                                  [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.httpd.conf                                                                 [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.httr-oauth                                                                 [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/admin/.htusers                                                                    [Words:20, Size:280, Lines:10] 
