[403] http://192.168.135.121/assets//                                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/?MAIN=TOPACCESS                                                            [Words:20, Size:280, Lines:10] 
[301] http://192.168.135.121/assets/css                                                                        [Words:20, Size:323, Lines:10] 
[403] http://192.168.135.121/assets/.ht_wsr.txt                                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.hta                                                                       [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess                                                                  [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess-local                                                            [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess-dev                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess-marco                                                            [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess.BAK                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess.bak                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess.bak1                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess.inc                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess.old                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess.sample                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess.orig                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess.swp                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess.txt                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess.save                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess/                                                                 [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccessBAK                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccessOLD                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccessOLD2                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess_extra                                                            [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess_orig                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess_sc                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htaccess~                                                                 [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htf                                                                       [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htgroup                                                                   [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htm                                                                       [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.html                                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htpasswd                                                                  [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htpasswd-old                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htpasswd.bak                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htpasswd.inc                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htpasswd/                                                                 [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htpasswd_test                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htpasswds                                                                 [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htpasswrd                                                                 [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.httpd.conf                                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.httr-oauth                                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/assets/.htusers                                                                   [Words:20, Size:280, Lines:10] 
[301] http://192.168.135.121/assets/js                                                                         [Words:20, Size:322, Lines:10] 
[403] http://192.168.135.121/assets/js/                                                                        [Words:20, Size:280, Lines:10] 
