[403] http://192.168.135.121/templates/.ht_wsr.txt                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.hta                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess-dev                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess-local                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess-marco                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.BAK                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.bak                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.bak1                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.inc                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.old                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.orig                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.sample                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.save                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.swp                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.txt                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess/                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccessBAK                                                            [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccessOLD                                                            [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccessOLD2                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess_extra                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess_orig                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess_sc                                                            [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess~                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htf                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htgroup                                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htm                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.html                                                                   [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd-old                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd.bak                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd.inc                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd/                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd_test                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswds                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswrd                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.httpd.conf                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.httr-oauth                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htusers                                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates//.html                                                                  [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates//                                                                       [Words:20, Size:280, Lines:10] 
[200] http://192.168.135.121/templates/base.html                                                               [Words:2, Size:19, Lines:2] 
[403] http://192.168.135.121/templates/.htusers.html                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.httr-oauth.html                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.httpd.conf.html                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswrd.html                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswds.html                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd_test.html                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd/.html                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd.inc.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd.bak.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd-old.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htpasswd.html                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.html.html                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htm.html                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htgroup.html                                                           [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htf.html                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess~.html                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess_sc.html                                                       [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess_orig.html                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess_extra.html                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccessOLD2.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccessOLD.html                                                       [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccessBAK.html                                                       [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess/.html                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.txt.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.swp.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.save.html                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.sample.html                                                   [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.orig.html                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.old.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.inc.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.bak1.html                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.bak.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.BAK.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess-marco.html                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess-local.html                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess-dev.html                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.hta.html                                                               [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.htaccess.html                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/.ht_wsr.txt.html                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/templates/?MAIN=TOPACCESS                                                         [Words:20, Size:280, Lines:10] 
