[302] http://192.168.135.125/%2e/admin                                                                         [Words:60, Size:358, Lines:12] 
[302] http://192.168.135.125/%61dmin                                                                           [Words:60, Size:358, Lines:12] 
[200] http://192.168.135.125/contact                                                                           [Words:1895, Size:8702, Lines:224] 
[200] http://192.168.135.125/courses                                                                           [Words:2650, Size:11265, Lines:264] 
[302] http://192.168.135.125/api/user                                                                          [Words:60, Size:358, Lines:12] 
[405] http://192.168.135.125/newsletter                                                                        [Words:132, Size:825, Lines:23] 
[200] http://192.168.135.125/robots.txt                                                                        [Words:2, Size:24, Lines:3] 
[200] http://192.168.135.125/index                                                                             [Words:1029, Size:5901, Lines:153] 
[200] http://192.168.135.125/index.php                                                                         [Words:1029, Size:5901, Lines:153] 
[200] http://192.168.135.125/index.php?appservlang=%3Csvg%2Fonload=confirm%28%27xss%27%29%3E                   [Words:1029, Size:5901, Lines:153] 
[200] http://192.168.135.125/index.php?redirect=//evil.com                                                     [Words:1029, Size:5901, Lines:153] 
[200] http://192.168.135.125/index.php?r=students/guardians/create&id=1%22%3E%3Cscript%3Ealert%28document.domain%29%3C%2Fscript%3E  [Words:1029, Size:5901, Lines:153] 
[200] http://192.168.135.125/index.php?redirect=/\/evil.com/                                                   [Words:1029, Size:5901, Lines:153] 
[405] http://192.168.135.125/_ignition/execute-solution                                                        [Words:132, Size:825, Lines:23] 
[200] http://192.168.135.125/about                                                                             [Words:2585, Size:10935, Lines:281] 
[302] http://192.168.135.125/admin                                                                             [Words:60, Size:358, Lines:12] 
[302] http://192.168.135.125/admin/../admin                                                                    [Words:60, Size:358, Lines:12] 
[200] http://192.168.135.125/events                                                                            [Words:1364, Size:7217, Lines:192] 
[200] http://192.168.135.125//                                                                                 [Words:1029, Size:5901, Lines:153] 
[200] http://192.168.135.125/login                                                                             [Words:914, Size:7171, Lines:162] 
[200] http://192.168.135.125/login?next=%2F                                                                    [Words:914, Size:7171, Lines:162] 
[302] http://192.168.135.125/logout                                                                            [Words:60, Size:358, Lines:12] 
[200] http://192.168.135.125/?MAIN=TOPACCESS                                                                   [Words:1029, Size:5901, Lines:153] 
