[301] http://192.168.188.121/%20../                                                                            [Words:20, Size:317, Lines:10] 
[301] http://192.168.188.121/%3f/                                                                              [Words:20, Size:312, Lines:10] 
[301] http://192.168.188.121/%ff/                                                                              [Words:20, Size:315, Lines:10] 
[404] http://192.168.188.121/..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd                                     [Words:23, Size:277, Lines:10] 
[301] http://192.168.188.121/..;/                                                                              [Words:20, Size:315, Lines:10] 
[301] http://192.168.188.121/./admin/.                                                                         [Words:20, Size:317, Lines:10] 
[301] http://192.168.188.121/%2e%2e;test/                                                                      [Words:20, Size:319, Lines:10] 
[301] http://192.168.188.121/.HTF/                                                                             [Words:20, Size:316, Lines:10] 
[301] http://192.168.188.121/.Rproj.user/                                                                      [Words:20, Size:323, Lines:10] 
[301] http://192.168.188.121/.abcdefghijklmnop/                                                                [Words:20, Size:329, Lines:10] 
[301] http://192.168.188.121/.admin/                                                                           [Words:20, Size:318, Lines:10] 
[301] http://192.168.188.121/.ansible/                                                                         [Words:20, Size:320, Lines:10] 
